Nr.;Themengebiet;Frage;Option A;Option B;Option C;Option D;Richtig;Vollst„ndige Antwort;Schwierigkeit
451;Diagnostik: Vorsorgeuntersuchungen;Wozu dienen die U-Untersuchungen (U1?U9) und die J1?;Keine Angabe;Zur regelm„áigen šberwachung von Wachstum, Entwicklung, Gesundheit und Frherkennung von Erkrankungen sowie zur Impf- und Beratungsgelegenheit.;Keine Angabe;Keine Angabe;B;Zur regelm„áigen šberwachung von Wachstum, Entwicklung, Gesundheit und Frherkennung von Erkrankungen sowie zur Impf- und Beratungsgelegenheit.;leicht
452;Diagnostik: Vorsorgeuntersuchungen;Welche Screeningmethode dient der Frherkennung angeborener H”rst”rungen beim Neugeborenen?;Keine Angabe;Keine Angabe;Keine Angabe;Das Neugeborenen-H”rscreening (otoakustische Emissionen/OAE bzw. Hirnstammaudiometrie/AABR).;D;Das Neugeborenen-H”rscreening (otoakustische Emissionen/OAE bzw. Hirnstammaudiometrie/AABR).;mittel
453;Diagnostik: Vorsorgeuntersuchungen;Mit welchem Verfahren werden im erweiterten Neugeborenenscreening Stoffwechsel-/Endokrinopathien aus Trockenblut erfasst?;Keine Angabe;Mittels Tandem-Massenspektrometrie (plus spezifischer Verfahren, z. B. fr TSH/17-OHP).;Keine Angabe;Keine Angabe;B;Mittels Tandem-Massenspektrometrie (plus spezifischer Verfahren, z. B. fr TSH/17-OHP).;schwer
454;Diagnostik: Vorsorgeuntersuchungen;Welche Vorsorgeuntersuchung beinhaltet u. a. die Hftsonografie zur Frherkennung der Hftdysplasie?;Keine Angabe;Keine Angabe;Keine Angabe;Die U3 (in der 4.?5. Lebenswoche).;D;Die U3 (in der 4.?5. Lebenswoche).;mittel
455;Therapie: Schmerztherapie;Nach welchem Schema richtet sich die medikament”se Schmerztherapie grunds„tzlich?;Keine Angabe;Keine Angabe;Keine Angabe;Nach dem WHO-Stufenschema (von Nicht-Opioiden ber schwache zu starken Opioiden, je nach Schmerzst„rke).;D;Nach dem WHO-Stufenschema (von Nicht-Opioiden ber schwache zu starken Opioiden, je nach Schmerzst„rke).;leicht
456;Therapie: Schmerztherapie;Welche beiden Nicht-Opioid-Analgetika werden im Kindesalter am h„ufigsten eingesetzt?;Keine Angabe;Keine Angabe;Keine Angabe;Paracetamol und Ibuprofen.;D;Paracetamol und Ibuprofen.;leicht
457;Therapie: Schmerztherapie;Welches starke Opioid ist ein Standardmedikament bei starken Schmerzen im Kindesalter?;Keine Angabe;Keine Angabe;Keine Angabe;Morphin.;D;Morphin.;mittel
458;Therapie: Schmerztherapie;Warum sollte bei Kindern auf intramuskul„re Injektionen zur Schmerztherapie m”glichst verzichtet werden?;"Weil sie selbst schmerzhaft und angstbesetzt sind; bevorzugt werden orale, intraven”se oder andere atraumatische Applikationswege.";Keine Angabe;Keine Angabe;Keine Angabe;A;"Weil sie selbst schmerzhaft und angstbesetzt sind; bevorzugt werden orale, intraven”se oder andere atraumatische Applikationswege.";mittel
459;Therapie: Schmerztherapie;Welches Grundprinzip gilt fr die Dosierung von Analgetika bei Dauerschmerz?;Keine Angabe;Keine Angabe;Keine Angabe;Feste Einnahme nach Zeitschema (?by the clock?) statt nur bei Bedarf, gewichtsadaptiert.;D;Feste Einnahme nach Zeitschema (?by the clock?) statt nur bei Bedarf, gewichtsadaptiert.;mittel
460;Therapie: Antiinfektive Therapie;Welches Grundprinzip gilt bei der Wahl eines Antibiotikums?;M”glichst gezielte (schmalspektrige) Therapie nach wahrscheinlichstem Erregerspektrum und ? wenn m”glich ? nach Antibiogramm.;Keine Angabe;Keine Angabe;Keine Angabe;A;M”glichst gezielte (schmalspektrige) Therapie nach wahrscheinlichstem Erregerspektrum und ? wenn m”glich ? nach Antibiogramm.;mittel
461;Therapie: Antiinfektive Therapie;Welche Antibiotikagruppe ist Mittel der Wahl bei einer Streptokokken-A-Infektion (z. B. Scharlach)?;Keine Angabe;Keine Angabe;Penicillin (Penicillin V).;Keine Angabe;C;Penicillin (Penicillin V).;leicht
462;Therapie: Antiinfektive Therapie;Welches Antibiotikum wird h„ufig bei unkomplizierter ambulant erworbener Pneumonie oder Otitis media eingesetzt?;Keine Angabe;Keine Angabe;Keine Angabe;Amoxicillin (Aminopenicillin).;D;Amoxicillin (Aminopenicillin).;leicht
463;Therapie: Antiinfektive Therapie;Welche Antibiotikagruppe ist bei Pertussis und atypischen Erregern (z. B. Mykoplasmen) wirksam?;Keine Angabe;Keine Angabe;Keine Angabe;Makrolide (z. B. Azithromycin, Clarithromycin).;D;Makrolide (z. B. Azithromycin, Clarithromycin).;mittel
464;Therapie: Antiinfektive Therapie;Warum ist ein zurckhaltender, gezielter Antibiotikaeinsatz (Antibiotic Stewardship) wichtig?;Keine Angabe;Zur Vermeidung von Resistenzentwicklung und unn”tigen Nebenwirkungen.;Keine Angabe;Keine Angabe;B;Zur Vermeidung von Resistenzentwicklung und unn”tigen Nebenwirkungen.;mittel
465;Therapie: Infusionstherapie;Nach welcher Regel wird der t„gliche Flssigkeits-Erhaltungsbedarf bei Kindern berechnet?;Keine Angabe;Keine Angabe;Keine Angabe;Nach der Holliday-Segar-Regel (100 ml/kg fr die ersten 10 kg, 50 ml/kg fr die n„chsten 10 kg, 20 ml/kg fr jedes weitere kg).;D;Nach der Holliday-Segar-Regel (100 ml/kg fr die ersten 10 kg, 50 ml/kg fr die n„chsten 10 kg, 20 ml/kg fr jedes weitere kg).;schwer
466;Therapie: Infusionstherapie;Wie wird der Schweregrad einer Dehydratation klinisch grob eingesch„tzt?;Keine Angabe;Keine Angabe;Keine Angabe;Anhand von Gewichtsverlust, Hautturgor, Schleimh„uten, Fontanelle, Rekapillarisierungszeit, Kreislauf und Urinausscheidung.;D;Anhand von Gewichtsverlust, Hautturgor, Schleimh„uten, Fontanelle, Rekapillarisierungszeit, Kreislauf und Urinausscheidung.;mittel
467;Therapie: Infusionstherapie;Welche Rehydratationsform ist bei leichter bis mittelschwerer Dehydratation durch Gastroenteritis bevorzugt?;Keine Angabe;Keine Angabe;Die orale Rehydratation mit oraler Rehydratationsl”sung.;Keine Angabe;C;Die orale Rehydratation mit oraler Rehydratationsl”sung.;leicht
468;Therapie: Infusionstherapie;Welche Infusionsl”sung wird zur initialen Volumengabe (Bolus) im Schock verwendet?;Keine Angabe;Keine Angabe;Eine isotone kristalloide L”sung (z. B. balancierte Vollelektrolytl”sung/NaCl 0,9 %).;Keine Angabe;C;Eine isotone kristalloide L”sung (z. B. balancierte Vollelektrolytl”sung/NaCl 0,9 %).;mittel
469;Therapie: Infusionstherapie;Welche gef„hrliche Komplikation droht bei zu rascher Korrektur einer Hyponatri„mie?;Keine Angabe;Keine Angabe;Die osmotische Demyelinisierung (zentrale pontine Myelinolyse) ? daher langsame Korrektur.;Keine Angabe;C;Die osmotische Demyelinisierung (zentrale pontine Myelinolyse) ? daher langsame Korrektur.;schwer
470;Therapie: Ern„hrung;Wie lange wird ausschlieáliches Stillen bzw. Muttermilchern„hrung grunds„tzlich empfohlen?;Keine Angabe;Keine Angabe;Keine Angabe;Etwa fr die ersten 4?6 Lebensmonate.;D;Etwa fr die ersten 4?6 Lebensmonate.;leicht
471;Therapie: Ern„hrung;Sollte die Beikosteinfhrung zur Allergiepr„vention verz”gert werden?;Keine Angabe;Nein ? eine Verz”gerung der Beikosteinfhrung ber das empfohlene Fenster hinaus bringt keinen Vorteil und wird nicht empfohlen.;Keine Angabe;Keine Angabe;B;Nein ? eine Verz”gerung der Beikosteinfhrung ber das empfohlene Fenster hinaus bringt keinen Vorteil und wird nicht empfohlen.;mittel
472;Therapie: Ern„hrung;Welche Supplemente erhalten gestillte S„uglinge im ersten Lebensjahr standardm„áig?;Keine Angabe;Keine Angabe;"Vitamin D (Rachitisprophylaxe) und Vitamin K (Blutungsprophylaxe); zudem oft Jod/Fluorid je nach Empfehlung.";Keine Angabe;C;"Vitamin D (Rachitisprophylaxe) und Vitamin K (Blutungsprophylaxe); zudem oft Jod/Fluorid je nach Empfehlung.";mittel
473;Therapie: Ern„hrung;Welche Ern„hrungsform ist bei nachgewiesener Kuhmilchproteinallergie indiziert?;Eine kuhmilchfreie Ern„hrung mit extensiv hydrolysierter (oder ggf. Aminos„ure-)Spezialnahrung.;Keine Angabe;Keine Angabe;Keine Angabe;A;Eine kuhmilchfreie Ern„hrung mit extensiv hydrolysierter (oder ggf. Aminos„ure-)Spezialnahrung.;mittel
474;Therapie: Ern„hrung;Was ist das Refeeding-Syndrom und bei wem droht es?;Keine Angabe;Keine Angabe;Eine gef„hrliche Elektrolytverschiebung (v. a. Hypophosphat„mie) bei zu schnellem Kostaufbau nach l„ngerer Mangelern„hrung (z. B. bei Anorexie).;Keine Angabe;C;Eine gef„hrliche Elektrolytverschiebung (v. a. Hypophosphat„mie) bei zu schnellem Kostaufbau nach l„ngerer Mangelern„hrung (z. B. bei Anorexie).;schwer
475;Therapie: Pneumologie/Allergologie;Nach welchem Prinzip erfolgt die Asthma-Dauertherapie?;Keine Angabe;Keine Angabe;Nach einem Stufenschema, das je nach Asthmakontrolle intensiviert oder reduziert wird.;Keine Angabe;C;Nach einem Stufenschema, das je nach Asthmakontrolle intensiviert oder reduziert wird.;mittel
476;Therapie: Pneumologie/Allergologie;Welches Medikament bildet die Basis der antiinflammatorischen Asthma-Dauertherapie?;Keine Angabe;Inhalative Glukokortikoide.;Keine Angabe;Keine Angabe;B;Inhalative Glukokortikoide.;leicht
477;Therapie: Pneumologie/Allergologie;Welche Medikamente dienen der Akut-/Bedarfstherapie beim Asthma?;Kurzwirksame inhalative Beta-2-Sympathomimetika (SABA).;Keine Angabe;Keine Angabe;Keine Angabe;A;Kurzwirksame inhalative Beta-2-Sympathomimetika (SABA).;leicht
478;Therapie: Pneumologie/Allergologie;Welche kausale Therapie steht bei IgE-vermittelten Allergien zur Verfgung und in welchen Formen?;Keine Angabe;Keine Angabe;Die spezifische Immuntherapie (Hyposensibilisierung), als subkutane (SCIT) oder sublinguale (SLIT) Form.;Keine Angabe;C;Die spezifische Immuntherapie (Hyposensibilisierung), als subkutane (SCIT) oder sublinguale (SLIT) Form.;mittel
479;Therapie: Antikonvulsive Therapie;Welche Medikamentengruppe ist die Akut-/Notfalltherapie eines anhaltenden Krampfanfalls?;Keine Angabe;Keine Angabe;Benzodiazepine (z. B. Midazolam, Diazepam, Lorazepam).;Keine Angabe;C;Benzodiazepine (z. B. Midazolam, Diazepam, Lorazepam).;leicht
480;Therapie: Antikonvulsive Therapie;Welcher Applikationsweg eignet sich fr die Notfallmedikation eines Krampfanfalls im h„uslichen Umfeld?;Keine Angabe;Bukkal/nasal (Midazolam) oder rektal (Diazepam).;Keine Angabe;Keine Angabe;B;Bukkal/nasal (Midazolam) oder rektal (Diazepam).;mittel
481;Therapie: Antikonvulsive Therapie;Nach welchem Grundprinzip wird die antikonvulsive Langzeittherapie begonnen?;Keine Angabe;Keine Angabe;Keine Angabe;M”glichst als Monotherapie mit einem zur Epilepsieform passenden Antikonvulsivum, einschleichend dosiert.;D;M”glichst als Monotherapie mit einem zur Epilepsieform passenden Antikonvulsivum, einschleichend dosiert.;mittel
482;Therapie: Antikonvulsive Therapie;Welche nicht-medikament”se Ern„hrungstherapie kann bei therapierefrakt„ren Epilepsien eingesetzt werden?;Keine Angabe;Die ketogene Di„t.;Keine Angabe;Keine Angabe;B;Die ketogene Di„t.;schwer
483;Therapie: Antikonvulsive Therapie;Wann kann ein Absetzversuch der antikonvulsiven Therapie erwogen werden?;Keine Angabe;In der Regel nach einer ausreichend langen anfallsfreien Zeit (z. B. mindestens ca. 2 Jahre), unter EEG-Kontrolle.;Keine Angabe;Keine Angabe;B;In der Regel nach einer ausreichend langen anfallsfreien Zeit (z. B. mindestens ca. 2 Jahre), unter EEG-Kontrolle.;schwer
484;Therapie: Rheumatologie;Welche Medikamentengruppe wird symptomatisch bei aktiver Arthritis (z. B. JIA) zur Entzndungs-/Schmerzlinderung eingesetzt?;Keine Angabe;Keine Angabe;Nichtsteroidale Antirheumatika (NSAR, z. B. Naproxen, Ibuprofen).;Keine Angabe;C;Nichtsteroidale Antirheumatika (NSAR, z. B. Naproxen, Ibuprofen).;mittel
485;Therapie: Rheumatologie;Welches Basistherapeutikum (DMARD) ist Standard bei der polyartikul„ren JIA?;Keine Angabe;Keine Angabe;Methotrexat (MTX).;Keine Angabe;C;Methotrexat (MTX).;mittel
486;Therapie: Rheumatologie;Welche modernen Medikamente werden bei therapierefrakt„rer JIA eingesetzt?;Keine Angabe;Biologika (z. B. TNF-alpha-Blocker, bei systemischer Form IL-1- oder IL-6-Blocker).;Keine Angabe;Keine Angabe;B;Biologika (z. B. TNF-alpha-Blocker, bei systemischer Form IL-1- oder IL-6-Blocker).;mittel
487;Therapie: Rheumatologie;Wozu werden Glukokortikoide bei rheumatischen Erkrankungen eingesetzt und was ist zu beachten?;Keine Angabe;Keine Angabe;"Zur raschen Entzndungskontrolle (akut/Schub); wegen Nebenwirkungen m”glichst kurz/niedrig dosiert und nicht als alleinige Dauertherapie.";Keine Angabe;C;"Zur raschen Entzndungskontrolle (akut/Schub); wegen Nebenwirkungen m”glichst kurz/niedrig dosiert und nicht als alleinige Dauertherapie.";mittel
488;Therapie: H„matologie/Onkologie;Auf welchen S„ulen beruht die Therapie kindlicher Krebserkrankungen grunds„tzlich?;Auf Chemotherapie, Operation und Strahlentherapie ? je nach Tumorentit„t kombiniert, m”glichst innerhalb von Therapiestudien.;Keine Angabe;Keine Angabe;Keine Angabe;A;Auf Chemotherapie, Operation und Strahlentherapie ? je nach Tumorentit„t kombiniert, m”glichst innerhalb von Therapiestudien.;mittel
489;Therapie: H„matologie/Onkologie;Welche akute Stoffwechselkomplikation muss zu Beginn der Chemotherapie bei groáer Tumorlast verhindert werden?;Keine Angabe;Das Tumorlysesyndrom (Prophylaxe mit Hydrierung und z. B. Rasburicase/Allopurinol).;Keine Angabe;Keine Angabe;B;Das Tumorlysesyndrom (Prophylaxe mit Hydrierung und z. B. Rasburicase/Allopurinol).;schwer
490;Therapie: H„matologie/Onkologie;Welche supportive Maánahme ist bei Fieber in der Chemotherapie-induzierten Neutropenie zwingend?;Keine Angabe;Keine Angabe;Sofortige empirische breite Antibiotikatherapie nach Blutkulturabnahme (febrile Neutropenie ist ein Notfall).;Keine Angabe;C;Sofortige empirische breite Antibiotikatherapie nach Blutkulturabnahme (febrile Neutropenie ist ein Notfall).;mittel
491;Therapie: H„matologie/Onkologie;Welche kurative Therapieoption besteht bei bestimmten Hochrisiko-Leuk„mien?;Keine Angabe;Die allogene Stammzelltransplantation (Knochenmarktransplantation).;Keine Angabe;Keine Angabe;B;Die allogene Stammzelltransplantation (Knochenmarktransplantation).;mittel
492;Therapie: Dermatologie;Worauf beruht die Basistherapie chronischer Ekzemerkrankungen?;Auf konsequenter rckfettender Hautpflege (Emollientien) zur Stabilisierung der Hautbarriere.;Keine Angabe;Keine Angabe;Keine Angabe;A;Auf konsequenter rckfettender Hautpflege (Emollientien) zur Stabilisierung der Hautbarriere.;leicht
493;Therapie: Dermatologie;Welche Wirkstoffe werden topisch bei entzndlichen Ekzemschben eingesetzt?;Keine Angabe;Topische Glukokortikoide bzw. topische Calcineurininhibitoren.;Keine Angabe;Keine Angabe;B;Topische Glukokortikoide bzw. topische Calcineurininhibitoren.;mittel
494;Therapie: Dermatologie;Welches Grundprinzip gilt bei der topischen Therapie (?feucht auf feucht, fett auf trocken?)?;Die Galenik wird an den Hautzustand angepasst: n„ssende/akute L„sionen feucht, trockene/chronische L„sionen mit fetteren Grundlagen behandeln.;Keine Angabe;Keine Angabe;Keine Angabe;A;Die Galenik wird an den Hautzustand angepasst: n„ssende/akute L„sionen feucht, trockene/chronische L„sionen mit fetteren Grundlagen behandeln.;schwer
495;Recht;Welche Voraussetzungen muss eine wirksame Einwilligung in eine „rztliche Behandlung erfllen?;Keine Angabe;"Eine sachgerechte Aufkl„rung und die Einwilligungsf„higkeit des Einwilligenden; ohne wirksame Einwilligung ist der Eingriff rechtswidrig.";Keine Angabe;Keine Angabe;B;"Eine sachgerechte Aufkl„rung und die Einwilligungsf„higkeit des Einwilligenden; ohne wirksame Einwilligung ist der Eingriff rechtswidrig.";mittel
496;Recht;Wer erteilt bei einem nicht einwilligungsf„higen minderj„hrigen Patienten die Einwilligung?;Keine Angabe;Keine Angabe;"Die personensorgeberechtigten Eltern (Sorgeberechtigten); bei gemeinsamem Sorgerecht grunds„tzlich beide.";Keine Angabe;C;"Die personensorgeberechtigten Eltern (Sorgeberechtigten); bei gemeinsamem Sorgerecht grunds„tzlich beide.";mittel
497;Recht;K”nnen auch Minderj„hrige selbst einwilligen?;Ja, wenn sie ber die n”tige Einsichts- und Urteilsf„higkeit (Einwilligungsf„higkeit) verfgen ? dies wird im Einzelfall beurteilt, mit zunehmendem Alter eher gegeben.;Keine Angabe;Keine Angabe;Keine Angabe;A;Ja, wenn sie ber die n”tige Einsichts- und Urteilsf„higkeit (Einwilligungsf„higkeit) verfgen ? dies wird im Einzelfall beurteilt, mit zunehmendem Alter eher gegeben.;schwer
498;Recht;Was beinhaltet die „rztliche Schweigepflicht?;Keine Angabe;Keine Angabe;"Die Pflicht, alle in der Behandlung bekannt gewordenen Patienteninformationen vertraulich zu behandeln; eine Offenbarung ist nur mit Einwilligung oder bei gesetzlicher Befugnis/rechtfertigendem Grund zul„ssig.";Keine Angabe;C;"Die Pflicht, alle in der Behandlung bekannt gewordenen Patienteninformationen vertraulich zu behandeln; eine Offenbarung ist nur mit Einwilligung oder bei gesetzlicher Befugnis/rechtfertigendem Grund zul„ssig.";mittel
499;Recht;Wie muss der Arzt bei Verdacht auf eine Kindeswohlgef„hrdung vorgehen?;Keine Angabe;Keine Angabe;Die Gef„hrdung einsch„tzen, das Gespr„ch suchen, Hilfen anbieten und bei Bedarf das Jugendamt einbeziehen ? zum Schutz des Kindes ist eine Durchbrechung der Schweigepflicht gerechtfertigt.;Keine Angabe;C;Die Gef„hrdung einsch„tzen, das Gespr„ch suchen, Hilfen anbieten und bei Bedarf das Jugendamt einbeziehen ? zum Schutz des Kindes ist eine Durchbrechung der Schweigepflicht gerechtfertigt.;schwer
500;Recht;Was schreibt das Masernschutzgesetz in Deutschland vor?;Einen Nachweis des Masernimpfschutzes (bzw. Immunit„t) fr den Besuch bzw. die T„tigkeit in Gemeinschaftseinrichtungen wie Kitas und Schulen.;Keine Angabe;Keine Angabe;Keine Angabe;A;Einen Nachweis des Masernimpfschutzes (bzw. Immunit„t) fr den Besuch bzw. die T„tigkeit in Gemeinschaftseinrichtungen wie Kitas und Schulen.;mittel
